fiducial,inversion_name,X,Y,DEPTH,ELEVATION,DEM,UNCERTAINTY,Type,BoundaryNm,BoundConf,BasisOfInt,OvrConf,OvrStrtUnt,OvrStrtCod,UndStrtUnt,UndStrtCod,WithinType,WithinStrt,WithinStNo,WithinConf,InterpRef,Comment,SURVEY_LINE,Operator,point_index,Colour,Marker,MarkerSize
3655.800048828125,galei,892695,7111738,23,468.8,491.7,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3044002,User,254,black,triangle-down,10
3651.199951171875,galei,892995,7111731,16,474.8,490.5,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3044002,User,260,black,triangle-down,10
3690.39990234375,galei,890496,7111792,16,474.8,490.7,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3044002,User,210,black,triangle-down,10
3699.0,galei,889946,7111793,17,480.8,498.1,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3044002,User,199,black,triangle-down,10
3705.0,galei,889546,7111798,13,486.8,499.5,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3044002,User,191,black,triangle-down,10
3699.60009765625,galei,889896,7111794,67,432.8,499.5,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,3044002,User,198,darkgrey,x,10
3690.39990234375,galei,890496,7111792,58,432.8,490.7,,TOP_Riewoldt,Top_Riewoldt_Granite,M,IAEM,M,,,,,,,,,,,3044002,User,210,darkgrey,x,10
7105.2001953125,galei,750211,7138907,44,378.7,423.0,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3045002,User,4,black,triangle-down,10
7144.60009765625,galei,752758,7138823,59,348.7,407.5,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3045002,User,55,black,triangle-down,10
7120.0,galei,751160,7138896,42,378.7,420.4,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3045002,User,23,black,triangle-down,10
7131.60009765625,galei,751910,7138876,53,360.7,413.7,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3045002,User,38,black,triangle-down,10
7254.60009765625,galei,759897,7138484,29,372.7,402.2,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3045002,User,198,black,triangle-down,10
7268.7998046875,galei,760796,7138485,23,378.7,402.0,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3045002,User,216,black,triangle-down,10
7287.39990234375,galei,761994,7138410,27,378.7,405.4,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3045002,User,240,black,triangle-down,10
7255.39990234375,galei,759947,7138484,66,336.7,402.6,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,3045002,User,199,darkgrey,triangle-up-dot,10
7268.7998046875,galei,760796,7138485,65,336.7,402.0,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,3045002,User,216,darkgrey,triangle-up-dot,10
7289.0,galei,762093,7138404,63,342.7,405.3,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,3045002,User,242,darkgrey,triangle-up-dot,10
7261.7998046875,galei,760346,7138492,133,270.7,403.5,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3045002,User,207,black,triangle-down-dot,10
7288.2001953125,galei,762044,7138407,123,282.7,405.4,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3045002,User,241,black,triangle-down-dot,10
7268.7998046875,galei,760796,7138485,119,282.7,402.0,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3045002,User,216,black,triangle-down-dot,10
7275.0,galei,761196,7138463,116,288.7,405.0,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3045002,User,224,black,triangle-down-dot,10
7275.0,galei,761196,7138463,56,348.7,405.0,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,3045002,User,224,darkgrey,triangle-up-dot,10
7275.0,galei,761196,7138463,20,384.7,405.0,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3045002,User,224,black,triangle-down,10
7105.2001953125,galei,750211,7138907,104,318.7,423.0,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,3045002,User,4,darkgrey,triangle-up-dot,10
7116.0,galei,750910,7138897,82,336.7,419.2,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,3045002,User,18,darkgrey,triangle-up-dot,10
7131.60009765625,galei,751910,7138876,101,312.7,413.7,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,3045002,User,38,darkgrey,triangle-up-dot,10
7144.60009765625,galei,752758,7138823,107,300.7,407.5,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,3045002,User,55,darkgrey,triangle-up-dot,10
7105.2001953125,galei,750211,7138907,152,270.7,423.0,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3045002,User,4,black,triangle-down-dot,10
7116.0,galei,750910,7138897,142,276.7,419.2,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3045002,User,18,black,triangle-down-dot,10
7131.60009765625,galei,751910,7138876,149,264.7,413.7,,Top_Grimes,Top_Grimes_Siltstone,M,IAEM,M,,,,,,,,,,,3045002,User,38,black,triangle-down-dot,10
7116.0,galei,750910,7138897,34,384.7,419.2,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3045002,User,18,black,triangle-down,10
7321.39990234375,galei,764191,7138381,21,390.7,411.8,,TOP_Cotchin,Top_Cotchin_clay,M,IAEM,M,,,,,,,,,,,3045002,User,284,black,triangle-down,10
7321.39990234375,galei,764191,7138381,63,348.7,411.8,,TOP_Prestia,Top_Prestia_Sandstone,M,IAEM,M,,,,,,,,,,,3045002,User,284,darkgrey,triangle-up-dot,10
