fiducial,inversion_name,X,Y,DEPTH,ELEVATION,DEM,Type,BoundaryNm,SURVEY_LINE,Operator,point_index,polyline,colour,Marker,MarkerSize
11522,galei,464597,6961304,192,-137.6,54.7,Top_Grimes,Top_Grimes_Siltstone,1020001,User,92,1,#0EFE03,triangle-down-dot,12
11508.2002,galei,465546,6961291,161,-101.6,59.8,Top_Grimes,Top_Grimes_Siltstone,1020001,User,111,1,#0EFE03,triangle-down-dot,12
11499.59961,galei,466146,6961290,119,-59.6,59.4,Top_Grimes,Top_Grimes_Siltstone,1020001,User,123,1,#0EFE03,triangle-down-dot,12
11495.2002,galei,466446,6961291,76,-17.6,58.9,Top_Grimes,Top_Grimes_Siltstone,1020001,User,129,1,#0EFE03,triangle-down-dot,12
11488.2002,galei,466946,6961298,63,0.4,63.5,Top_Grimes,Top_Grimes_Siltstone,1020001,User,139,1,#0EFE03,triangle-down-dot,12
11473.7998,galei,467946,6961294,34,42.4,76.1,Top_Grimes,Top_Grimes_Siltstone,1020001,User,159,1,#0EFE03,triangle-down-dot,12
11462.2002,galei,468746,6961294,37,54.4,91.1,Top_Grimes,Top_Grimes_Siltstone,1020001,User,175,1,#0EFE03,triangle-down-dot,12
11446,galei,469846,6961312,30,78.4,108.9,Top_Grimes,Top_Grimes_Siltstone,1020001,User,197,1,#0EFE03,triangle-down-dot,12
11415.40039,galei,471945,6961305,2,90.4,92.5,Top_Grimes,Top_Grimes_Siltstone,1020001,User,239,1,#0EFE03,triangle-down-dot,12
7145.600098,galei,631389,6844467,138,273.3,411,Top_Grimes,Top_Grimes_Siltstone,1030002,User,28,1,#0EFE03,triangle-down-dot,12
7119.399902,galei,633136,6844370,147,267.3,414.4,Top_Grimes,Top_Grimes_Siltstone,1030002,User,63,1,#0EFE03,triangle-down-dot,12
7097.799805,galei,634584,6844297,134,279.3,413.7,Top_Grimes,Top_Grimes_Siltstone,1030002,User,92,1,#0EFE03,triangle-down-dot,12
7080.799805,galei,635732,6844234,160,255.3,415.1,Top_Grimes,Top_Grimes_Siltstone,1030002,User,115,1,#0EFE03,triangle-down-dot,12
7035,galei,638676,6844069,139,273.3,412.2,Top_Grimes,Top_Grimes_Siltstone,1030002,User,174,1,#0EFE03,triangle-down-dot,12
7019.200195,galei,639724,6844010,145,267.3,411.9,Top_Grimes,Top_Grimes_Siltstone,1030002,User,195,1,#0EFE03,triangle-down-dot,12
6998.200195,galei,641122,6843938,144,267.3,411.8,Top_Grimes,Top_Grimes_Siltstone,1030002,User,223,1,#0EFE03,triangle-down-dot,12
6987.200195,galei,641871,6843894,145,267.3,412.6,Top_Grimes,Top_Grimes_Siltstone,1030002,User,238,1,#0EFE03,triangle-down-dot,12
6971.200195,galei,642969,6843837,143,267.3,410,Top_Grimes,Top_Grimes_Siltstone,1030002,User,260,1,#0EFE03,triangle-down-dot,12
6947.600098,galei,644567,6843748,142,273.3,415.1,Top_Grimes,Top_Grimes_Siltstone,1030002,User,292,1,#0EFE03,triangle-down-dot,12
6905.600098,galei,647412,6843595,132,279.3,410.8,Top_Grimes,Top_Grimes_Siltstone,1030002,User,349,1,#0EFE03,triangle-down-dot,12
6869.600098,galei,649808,6843466,116,291.3,407.5,Top_Grimes,Top_Grimes_Siltstone,1030002,User,397,1,#0EFE03,triangle-down-dot,12
6833,galei,652204,6843342,111,291.3,402.8,Top_Grimes,Top_Grimes_Siltstone,1030002,User,445,1,#0EFE03,triangle-down-dot,12
7105.200195,galei,750211,7138907,152,270.7,423,Top_Grimes,Top_Grimes_Siltstone,3045002,User,4,1,#0EFE03,triangle-down-dot,12
7116,galei,750910,7138897,142,276.7,419.2,Top_Grimes,Top_Grimes_Siltstone,3045002,User,18,1,#0EFE03,triangle-down-dot,12
7120,galei,751160,7138896,138,282.7,420.4,Top_Grimes,Top_Grimes_Siltstone,3045002,User,23,1,#0EFE03,triangle-down-dot,12
7131.600098,galei,751910,7138876,149,264.7,413.7,Top_Grimes,Top_Grimes_Siltstone,3045002,User,38,1,#0EFE03,triangle-down-dot,12
7144.600098,galei,752758,7138823,161,246.7,407.5,Top_Grimes,Top_Grimes_Siltstone,3045002,User,55,1,#0EFE03,triangle-down-dot,12
7261.799805,galei,760346,7138492,133,270.7,403.5,Top_Grimes,Top_Grimes_Siltstone,3045002,User,207,1,#0EFE03,triangle-down-dot,12
